OscarYear;CategoryId;CategoryName;W;Nominee;FromTheMovie
2017;1;Best Actor in a Leading Role;;Ryan Gosling;La La Land as Sebastian Wilder
2017;1;Best Actor in a Leading Role;;Viggo Mortensen;Captain Fantastic as Ben Cash
2017;1;Best Actor in a Leading Role;;Denzel Washington;Fences as Troy Maxson
2017;2;Best Actor in a Supporting Role;;Mahershala Ali;Moonlight as Juan
2017;2;Best Actor in a Supporting Role;;Jeff Bridges;Hell or High Water as Marcus Hamilton
2017;2;Best Actor in a Supporting Role;;Lucas Hedges;Manchester by the Sea as Patrick Chandler
2017;2;Best Actor in a Supporting Role;;Dev Patel;Lion as Saroo Brierley
2017;2;Best Actor in a Supporting Role;;Michael Shannon;Nocturnal Animals as Detective Bobby Andes
2017;3;Best Actress in a Leading Role;;Isabelle Huppert;Elle as Michèle Leblanc
2017;3;Best Actress in a Leading Role;;Ruth Negga;Loving as Mildred Loving
2017;3;Best Actress in a Leading Role;;Natalie Portman;Jackie as Jackie Kennedy
2017;3;Best Actress in a Leading Role;;Emma Stone;La La Land as Mia Dolan
2017;3;Best Actress in a Leading Role;;Meryl Streep;Florence Foster Jenkins as Florence Foster Jenkins
2017;4;Best Actress in a Supporting Role;;Viola Davis;Fences as Rose Maxson
2017;4;Best Actress in a Supporting Role;;Naomie Harris;Moonlight as Paula
2017;4;Best Actress in a Supporting Role;;Nicole Kidman;Lion as Sue Brierley
2017;4;Best Actress in a Supporting Role;;Octavia Spencer;Hidden Figures as Dorothy Vaughan
2017;4;Best Actress in a Supporting Role;;Michelle Williams;Manchester by the Sea as Randi
2017;5;Best Animated Feature Film;;Kubo and the Two Strings;Travis Knight and Arianne Sutner
2017;5;Best Animated Feature Film;;Moana;John Musker, Ron Clements, and Osnat Shurer
2017;5;Best Animated Feature Film;;My Life as a Zucchini;Claude Barras and Max Karli
2017;5;Best Animated Feature Film;;The Red Turtle;Michaël Dudok de Wit and Toshio Suzuki
2017;5;Best Animated Feature Film;;Zootopia;Byron Howard, Rich Moore, and Clark Spencer
2017;6;Best Animated Short Film;;Blind Vaysha;Theodore Ushev
2017;6;Best Animated Short Film;;Borrowed Time;Andrew Coats and Lou Hamou-Lhadj
2017;6;Best Animated Short Film;;Pear Cider and Cigarettes;Robert Valley and Cara Speller
2017;6;Best Animated Short Film;;Pearl;Patrick Osborne
2017;6;Best Animated Short Film;;Piper;Alan Barillaro and Marc Sondheimer
2017;7;Best Cinematography;;Arrival;Bradford Young
2017;7;Best Cinematography;;La La Land;Linus Sandgren
2017;7;Best Cinematography;;Lion;Greig Fraser
2017;7;Best Cinematography;;Moonlight;James Laxton
2017;7;Best Cinematography;;Silence;Rodrigo Prieto
2017;8;Best Costume Design;;Allied;Joanna Johnston
2017;8;Best Costume Design;;Fantastic Beasts and Where to Find Them;Colleen Atwood
2017;8;Best Costume Design;;Florence Foster Jenkins;Consolata Boyle
2017;8;Best Costume Design;;Jackie;Madeline Fontaine
2017;8;Best Costume Design;;La La Land;Mary Zophres
2017;9;Best Director;;Denis Villeneuve;Arrival
2017;9;Best Director;;Mel Gibson;Hacksaw Ridge
2017;9;Best Director;;Damien Chazelle;La La Land
2017;9;Best Director;;Kenneth Lonergan;Manchester by the Sea
2017;9;Best Director;;Barry Jenkins;Moonlight
2017;10;Best Documentary Feature;;Fire at Sea;Gianfranco Rosi and Donatella Palermo
2017;10;Best Documentary Feature;;I Am Not Your Negro;Raoul Peck, Rémi Grellety, and Hébert Peck
2017;10;Best Documentary Feature;;Life, Animated;Roger Ross Williams and Julie Goldman
2017;10;Best Documentary Feature;;O.J.: Made in America;Ezra Edelman and Caroline Waterlow
2017;10;Best Documentary Feature;;13th;Ava DuVernay, Spencer Averick, and Howard Barish
2017;11;Best Documentary Short Subject;;Extremis;Dan Krauss
2017;11;Best Documentary Short Subject;;4.1 Miles;Daphne Matziaraki
2017;11;Best Documentary Short Subject;;Joe's Violin;Kahane Cooperman and Raphaela Neihausen
2017;11;Best Documentary Short Subject;;Watani: My Homeland;Marcel Mettelsiefen and Stephen Ellis
2017;11;Best Documentary Short Subject;;The White Helmets;Orlando von Einsiedel and Joanna Natasegara
2017;12;Best Film Editing;;Arrival;Joe Walker
2017;12;Best Film Editing;;Hacksaw Ridge;John Gilbert
2017;12;Best Film Editing;;Hell or High Water;Jake Roberts
2017;12;Best Film Editing;;La La Land;Tom Cross
2017;12;Best Film Editing;;Moonlight;Nat Sanders and Joi McMillon
2017;13;Best Foreign Language Film;;Land of Mine (Denmark) in Danish;Martin Zandvliet
2017;13;Best Foreign Language Film;;A Man Called Ove (Sweden) in Swedish;Hannes Holm
2017;13;Best Foreign Language Film;;The Salesman (Iran) in Persian;Asghar Farhadi
2017;13;Best Foreign Language Film;;Tanna (Australia) in Nauvhal;Martin Butler and Bentley Dean
2017;13;Best Foreign Language Film;;Toni Erdmann (Germany) in German;Maren Ade
2017;14;Best Live Action Short Film;;Ennemis intérieurs;Sélim Azzazi
2017;14;Best Live Action Short Film;;La Femme et le TGV;Timo von Gunten and Giacun Caduff
2017;14;Best Live Action Short Film;;Silent Nights;Aske Bang and Kim Magnusson
2017;14;Best Live Action Short Film;;Sing;Kristóf Deák and Anna Udvardy
2017;14;Best Live Action Short Film;;Timecode;Juanjo Giménez
2017;15;Best Makeup and Hairstyling;;A Man Called Ove;Eva von Bahr and Love Larson
2017;15;Best Makeup and Hairstyling;;Star Trek Beyond;Joel Harlow and Richard Alonzo
2017;15;Best Makeup and Hairstyling;;Suicide Squad;Alessandro Bertolazzi, Giorgio Gregorini, and Christopher Nelson
2017;16;Best Original Score;;Jackie;Mica Levi
2017;16;Best Original Score;;La La Land;Justin Hurwitz
2017;16;Best Original Score;;Lion;Dustin O'Halloran and Hauschka
2017;16;Best Original Score;;Moonlight;Nicholas Britell
2017;16;Best Original Score;;Passengers;Thomas Newman
2017;17;Best Original Song;;"""Audition (The Fools Who Dream)"" from La La Land";Music by Justin Hurwitz, Lyric by Benj Pasek and Justin Paul
2017;17;Best Original Song;;"""Can't Stop the Feeling!"" from Trolls";Music and Lyric by Justin Timberlake, Max Martin, and Karl Johan Schuster (Shellback)
2017;17;Best Original Song;;"""City of Stars"" from La La Land";Music by Justin Hurwitz, Lyric by Benj Pasek and Justin Paul
2017;17;Best Original Song;;"""The Empty Chair"" from Jim: The James Foley Story";Music and Lyric by J. Ralph and Sting
2017;17;Best Original Song;;"""How Far I'll Go"" from Moana";Music and Lyric by Lin-Manuel Miranda
2017;18;Best Picture;;Arrival;Arrival
2017;18;Best Picture;;Fences;Fences
2017;18;Best Picture;;Hacksaw Ridge;Hacksaw Ridge
2017;18;Best Picture;;Hell or High Water;Hell or High Water
2017;18;Best Picture;;Hidden Figures;Hidden Figures
2017;18;Best Picture;;La La Land;La La Land
2017;18;Best Picture;;Lion;Lion
2017;18;Best Picture;;Manchester by the Sea;Manchester by the Sea
2017;18;Best Picture;;Moonlight;Adele Romanski, Dede Gardner, and Jeremy Kleiner
2017;19;Best Production Design;;Arrival;Patrice Vermette and Paul Hotte
2017;19;Best Production Design;;Fantastic Beasts and Where to Find Them;Stuart Craig and Anna Pinnock
2017;19;Best Production Design;;Hail, Caesar!;Jess Gonchor and Nancy Haigh
2017;19;Best Production Design;;La La Land;David Wasco and Sandy Reynolds-Wasco
2017;19;Best Production Design;;Passengers;Guy Hendrix Dyas and Gene Serdena
2017;20;Best Sound Editing;;Arrival;Sylvain Bellemare
2017;20;Best Sound Editing;;Deepwater Horizon;Wylie Stateman and Renée Tondelli
2017;20;Best Sound Editing;;Hacksaw Ridge;Robert Mackenzie and Andy Wright
2017;20;Best Sound Editing;;La La Land;Ai-Ling Lee and Mildred Iatrou Morgan
2017;20;Best Sound Editing;;Sully;Alan Robert Murray and Bub Asman
2017;21;Best Sound Mixing;;Arrival;Bernard Gariépy Strobl and Claude La Haye
2017;21;Best Sound Mixing;;Hacksaw Ridge;Kevin O'Connell, Andy Wright, Robert Mackenzie, and Peter Grace
2017;21;Best Sound Mixing;;La La Land;Andy Nelson, Ai-Ling Lee, and Steve A. Morrow
2017;21;Best Sound Mixing;;Rogue One: A Star Wars Story;David Parker, Christopher Scarabosio, and Stuart Wilson
2017;21;Best Sound Mixing;;13 Hours: The Secret Soldiers of Benghazi;Greg P. Russell, Gary Summers, Jeffrey J. Haboush, and Mac Ruth
2017;22;Best Visual Effects;;Deepwater Horizon;Craig Hammeck, Jason Snell, Jason Billington, and Burt Dalton
2017;22;Best Visual Effects;;Doctor Strange;Stephane Ceretti, Richard Bluff, Vincent Cirelli, and Paul Corbould
2017;22;Best Visual Effects;;The Jungle Book;Robert Legato, Adam Valdez, Andrew R. Jones, and Dan Lemmon
2017;22;Best Visual Effects;;Kubo and the Two Strings;Steve Emerson, Oliver Jones, Brian McLean, and Brad Schiff
2017;22;Best Visual Effects;;Rogue One: A Star Wars Story;John Knoll, Mohen Leo, Hal Hickel, and Neil Corbould
2017;23;Best Adapted Screenplay;;Arrival;"Eric Heisserer from ""Story of Your Life"" by Ted Chiang"
2017;23;Best Adapted Screenplay;;Fences;August Wilson from Fences by August Wilson (posthumous nomination)
2017;23;Best Adapted Screenplay;;Hidden Figures;Allison Schroeder and Theodore Melfi from Hidden Figures by Margot Lee Shetterly
2017;23;Best Adapted Screenplay;;Lion;Luke Davies from A Long Way Home by Saroo Brierley and Larry Buttrose
2017;23;Best Adapted Screenplay;;Moonlight;Barry Jenkins and Tarell Alvin McCraney from In Moonlight Black Boys Look Blue by Tarell Alvin McCraney
2017;24;Best Original Screenplay;;Hell or High Water;Taylor Sheridan
2017;24;Best Original Screenplay;;La La Land;Damien Chazelle
2017;24;Best Original Screenplay;;The Lobster;Yorgos Lanthimos and Efthimis Filippou
2017;24;Best Original Screenplay;;Manchester by the Sea;Kenneth Lonergan
2017;24;Best Original Screenplay;;20th Century Women;Mike Mills
